行政區別,村里別,唐新民,張家豪,施奉先,王文娟,童文薰,蔣萬安,蘇煥智,謝立康,鄭匡宇,陳時中,黃珊珊,黃聖峰
士林區,福安里,6,18,4,4,14,1326,20,2,0,3250,1446,2
士林區,福德里,2,6,0,0,6,2090,10,2,2,1670,1220,0
士林區,福志里,0,18,0,6,10,3728,20,0,2,2978,1902,6
士林區,福林里,2,4,0,0,2,1276,4,2,2,1100,742,2
士林區,福華里,6,10,2,6,6,2466,8,6,0,2490,1656,4
士林區,福順里,2,16,4,2,8,1906,8,2,4,2512,1514,2
士林區,義信里,4,6,0,0,8,1434,2,0,0,1140,784,2
士林區,翠山里,0,4,0,2,6,1716,8,0,4,702,680,0
士林區,聖山里,2,8,0,0,14,2604,2,0,0,1730,1272,0
士林區,臨溪里,2,2,0,4,2,1300,2,0,2,1050,608,0
士林區,舊佳里,4,16,2,2,18,2602,14,2,2,2534,1670,2
士林區,芝山里,2,16,4,2,14,3516,2,6,0,2720,2006,0
士林區,菁山里,2,2,2,0,4,696,4,2,2,722,506,2
士林區,葫東里,0,2,0,2,6,1462,8,4,2,1820,1208,4
士林區,葫蘆里,0,10,0,6,10,2962,4,0,0,3000,2112,2
士林區,蘭興里,0,4,0,6,6,2684,4,0,4,2610,1668,6
士林區,蘭雅里,0,18,0,2,10,3838,10,0,2,3278,2240,0
士林區,陽明里,0,8,2,6,12,1282,8,0,0,1192,598,2
大同區,保安里,4,12,0,0,6,1574,16,0,2,2118,1484,0
大同區,光能里,0,8,0,0,8,1766,6,0,0,2100,1538,0
大同區,南芳里,0,4,2,0,0,1448,6,0,0,1796,1128,0
大同區,國慶里,0,4,0,0,2,1744,10,0,0,2082,1404,0
大同區,國順里,2,6,0,2,6,942,4,0,2,1364,808,0
大同區,大有里,0,8,0,0,8,1468,8,0,0,2150,1222,4
大同區,延平里,0,4,0,2,6,1552,6,0,0,1648,1196,2
大同區,建功里,0,4,0,2,4,1676,10,0,0,1998,1278,0
大同區,建明里,0,4,0,0,4,1136,0,0,0,1300,786,0
大同區,建泰里,0,2,0,0,6,1158,4,0,2,1608,992,0
大同區,揚雅里,2,10,0,0,8,1298,2,0,2,1722,928,0
大同區,斯文里,2,12,0,6,14,1682,10,2,0,2268,1356,0
大同區,星明里,0,4,0,0,16,2184,6,0,0,2272,1602,0
大同區,景星里,2,6,0,0,4,936,4,0,0,1156,584,0
大同區,朝陽里,2,8,0,0,12,1608,4,2,0,1824,1150,0
大同區,民權里,0,14,0,0,10,2376,10,2,2,2710,1926,2
大同區,永樂里,0,10,0,2,2,1736,6,4,2,2382,1474,2
大同區,玉泉里,0,8,0,0,6,1074,0,4,2,1212,794,0
大同區,老師里,0,8,0,0,10,1874,10,4,2,2616,1656,4
大同區,至聖里,2,14,0,2,18,2944,8,0,2,3516,2154,0
大同區,蓬萊里,2,12,0,0,8,1856,4,2,2,2056,1416,2
大同區,鄰江里,0,18,4,2,20,2276,10,2,4,3018,1854,0
大同區,重慶里,2,16,2,4,12,2696,4,4,4,2704,2038,4
大同區,隆和里,0,4,0,2,2,1202,4,0,0,1584,1164,4
大同區,雙連里,0,20,0,2,12,3194,18,2,4,3856,2594,8
