縣市,行政區別,村里別,小民參政歐巴桑聯盟,司法改革黨,新黨,台灣民眾黨,台灣維新,親民黨,人民最大黨,台灣團結聯盟,台灣綠黨,臺灣雙語無法黨,台灣基進,中華統一促進黨,民主進步黨,制度救世島,時代力量,中國國民黨,不分區政黨有效票數A
花蓮縣,花蓮市,國裕里,44,10,4,1188,4,24,4,6,52,12,16,6,1258,10,122,2862,5622
花蓮縣,花蓮市,國防里,4,2,4,246,2,10,2,2,10,6,2,0,274,2,30,498,1094
花蓮縣,花蓮市,國風里,20,10,16,862,2,18,4,10,30,12,12,4,1108,0,88,1948,4144
花蓮縣,花蓮市,國魂里,14,2,2,562,2,12,2,2,26,4,12,2,670,2,42,1058,2414
花蓮縣,花蓮市,民主里,14,0,2,170,0,4,2,4,0,0,0,0,138,0,18,342,694
花蓮縣,花蓮市,民享里,32,12,14,890,2,24,0,0,40,20,16,6,738,2,94,2118,4008
花蓮縣,花蓮市,民勤里,28,6,14,954,0,20,4,4,56,22,20,2,730,2,126,2014,4002
花蓮縣,花蓮市,民孝里,22,8,18,892,6,22,2,8,36,10,8,10,766,0,116,2476,4400
花蓮縣,花蓮市,民德里,12,0,6,474,0,8,0,4,32,12,8,0,474,4,80,940,2054
花蓮縣,花蓮市,民心里,6,6,2,278,0,10,2,8,10,2,4,2,252,0,30,596,1208
花蓮縣,花蓮市,民意里,6,16,22,398,0,8,4,4,26,16,8,6,334,2,38,1550,2438
花蓮縣,花蓮市,民政里,26,24,24,1118,2,22,2,20,68,12,16,6,1032,8,118,2502,5000
花蓮縣,花蓮市,民族里,4,0,6,94,0,8,0,0,6,0,0,4,144,0,14,246,526
花蓮縣,花蓮市,民有里,0,2,0,170,0,6,0,0,8,4,4,2,218,0,26,300,740
花蓮縣,花蓮市,民樂里,8,0,8,192,0,0,0,4,10,0,2,0,180,0,22,408,834
花蓮縣,花蓮市,民權里,6,2,4,124,0,2,0,2,4,2,0,0,106,0,16,280,548
花蓮縣,花蓮市,民生里,12,0,2,268,2,2,2,2,18,2,2,0,420,2,30,548,1312
花蓮縣,花蓮市,民立里,20,14,10,392,0,8,2,4,12,16,20,2,426,0,54,948,1928
花蓮縣,花蓮市,民運里,12,6,12,496,0,16,0,8,18,14,0,4,604,2,58,1348,2598
花蓮縣,萬榮鄉,明利村,2,4,0,118,2,0,2,2,4,6,4,0,94,2,10,518,768
花蓮縣,萬榮鄉,紅葉村,6,2,4,176,0,12,2,8,10,6,2,14,86,2,22,762,1114
花蓮縣,萬榮鄉,萬榮村,0,8,2,164,0,6,2,0,8,6,2,2,104,0,18,642,964
花蓮縣,萬榮鄉,西林村,8,4,6,208,0,10,0,2,8,8,0,4,104,2,20,842,1226
花蓮縣,萬榮鄉,見晴村,0,2,0,82,0,4,0,4,2,0,2,2,50,0,8,372,528
花蓮縣,萬榮鄉,馬遠村,6,10,6,192,2,10,0,4,14,10,0,4,92,2,22,816,1190
花蓮縣,豐濱鄉,新社村,0,8,10,60,2,4,0,4,12,14,4,0,74,0,4,336,532
花蓮縣,豐濱鄉,港口村,0,4,6,80,2,4,4,6,12,6,4,0,154,0,16,518,816
花蓮縣,豐濱鄉,磯崎村,0,2,2,26,0,4,0,0,2,0,0,0,46,0,6,290,378
花蓮縣,豐濱鄉,豐濱村,10,2,2,162,0,14,0,12,6,12,6,8,240,6,12,1056,1548
花蓮縣,豐濱鄉,靜浦村,2,2,4,64,2,8,2,4,10,6,0,2,62,10,10,408,596
花蓮縣,鳳林鎮,北林里,2,4,0,122,4,4,0,2,6,10,4,4,250,2,6,308,728
花蓮縣,鳳林鎮,南平里,2,2,0,64,2,4,0,4,10,4,4,0,172,0,6,332,606
花蓮縣,鳳林鎮,大榮里,8,2,4,244,4,4,2,12,14,10,8,2,368,4,28,752,1466
花蓮縣,鳳林鎮,山興里,0,6,2,96,0,6,6,0,10,4,2,0,86,2,8,412,640
花蓮縣,鳳林鎮,林榮里,6,2,4,144,2,12,0,4,16,6,4,2,198,2,16,602,1020
花蓮縣,鳳林鎮,森榮里,0,0,0,8,0,0,0,0,0,2,0,0,10,0,0,90,110
花蓮縣,鳳林鎮,長橋里,6,0,2,144,4,6,0,6,12,12,6,2,262,6,24,612,1104
花蓮縣,鳳林鎮,鳳仁里,16,8,4,260,0,6,4,2,18,12,2,2,358,2,60,778,1532
花蓮縣,鳳林鎮,鳳信里,2,4,2,268,0,10,2,6,16,8,2,0,258,2,26,1020,1626
花蓮縣,鳳林鎮,鳳智里,6,0,0,232,0,8,0,4,2,10,4,0,246,0,34,784,1330
花蓮縣,鳳林鎮,鳳禮里,2,4,0,136,0,0,0,0,6,6,2,2,196,0,12,416,782
花蓮縣,鳳林鎮,鳳義里,2,0,6,122,0,0,0,2,10,6,0,0,140,0,20,490,798
